시도,지점명,위도,경도,발생건수,사상자수,사망자수,중상자수,경상자수
부산광역시,부산광역시 강서구 녹산동(명지IC 인근),35.111710712085,128.932137669638,11,14,0,3,11
부산광역시,부산광역시 연제구 연산동(연산교차로 인근),35.186058837448,129.081623857892,55,89,0,20,64
부산광역시,부산광역시 연제구 연산동(에이스커피 인근),35.181854493393,129.078268982864,26,32,0,7,21
부산광역시,부산광역시 연제구 연산동(과정삼거리 인근),35.192089211751,129.089432700897,26,37,0,4,28
부산광역시,부산광역시 수영구 광안동(수영교차로 인근),35.167364274845,129.115193296176,35,47,0,7,39
부산광역시,부산광역시 수영구 남천동(도시가스앞오거리 인근),35.135905243237,129.111079669433,28,36,0,5,27
부산광역시,부산광역시 수영구 광안동(광안사거리 인근),35.161960993309,129.114037357081,27,41,0,7,31
부산광역시,부산광역시 사상구 괘법동(사상교차로 인근),35.162082180552,128.984698513351,16,18,0,5,13
부산광역시,부산광역시 사상구 학장동(사상구청교차로 인근),35.149544399159,128.98950185805,15,21,0,1,20
부산광역시,부산광역시 사상구 주례동(카페베네부산주례점 인근),35.150756430769,129.005950576086,15,17,0,4,12
부산광역시,부산광역시 기장군 기장읍(대라리3714 인근),35.242383361904,129.216641991398,12,13,0,3,9
부산광역시,부산광역시 기장군 기장읍(교리우편취급소 인근),35.251014150184,129.217052795414,11,18,1,2,15
부산광역시,부산광역시 기장군 기장읍(수협은행기장지점 인근),35.24513083662,129.216743857607,11,12,0,5,5
대구광역시,대구광역시 중구 교동(히로미찌찜닭 인근),35.866964223509,128.599884030029,60,76,0,11,54
대구광역시,대구광역시 중구 봉산동(봉산동1271 인근),35.86459251702,128.598169446468,29,49,0,5,31
대구광역시,대구광역시 중구 동성로2가(성내1동주민센터 인근),35.868615550556,128.598128073157,27,30,0,3,24
대구광역시,대구광역시 동구 신암동(공고네거리 인근),35.881155993943,128.614094013533,30,43,0,4,38
대구광역시,대구광역시 동구 효목동(큰고개오거리 인근),35.885616993718,128.632979012977,25,39,0,5,32
대구광역시,대구광역시 동구 신천동(동대구역네거리 인근),35.876615994122,128.626093012888,25,42,0,3,36
대구광역시,대구광역시 서구 내당동(두류네거리 인근),35.857901994471,128.557451013058,36,62,1,5,54
대구광역시,대구광역시 서구 비산동(비산네거리 인근),35.872244994,128.571146013283,28,43,0,6,36
대구광역시,대구광역시 서구 원대동3가(원대네거리2 인근),35.884137349947,128.573163860828,21,29,0,2,23
대구광역시,대구광역시 남구 대명동(앞산네거리 인근),35.840193994447,128.579917013065,21,26,1,6,17
대구광역시,대구광역시 남구 봉덕동(남구청네거리 인근),35.844877993714,128.598317013525,19,30,0,4,24
대구광역시,대구광역시 남구 대명동(안지랑네거리 인근),35.838842994198,128.576962012592,18,32,0,3,26
대구광역시,대구광역시 북구 복현동(복현고가차도 인근),35.896747993513,128.616080013388,41,53,1,10,36
대구광역시,대구광역시 북구 산격동(경대교 인근),35.886329994222,128.601966013626,30,51,0,9,40
대구광역시,대구광역시 북구 태전동(칠곡IC네거리 인근),35.934025993992,128.540625013238,26,41,0,4,36
대구광역시,대구광역시 수성구 지산동(황금네거리 인근),35.839817993295,128.62387401398,41,59,0,11,42
대구광역시,대구광역시 수성구 중동(수성구청역교차로 인근),35.858841993752,128.635763013658,36,52,0,7,43
대구광역시,대구광역시 수성구 만촌동(만촌네거리 인근),35.858921994743,128.646023013757,34,44,0,3,39
대구광역시,대구광역시 달서구 감삼동(용산네거리 인근),35.849468994088,128.530710012861,34,46,0,11,32
대구광역시,대구광역시 달서구 감삼동(죽전네거리 인근),35.850184993832,128.537237014381,34,60,1,9,49
대구광역시,대구광역시 달서구 송현동(성당네거리 인근),35.837653994226,128.557545012897,28,39,2,3,31
대구광역시,대구광역시 달성군 다사읍(대실역대구2호선 인근),35.857459584681,128.464921494435,18,25,0,7,18
대구광역시,대구광역시 달성군 다사읍(다사중고등학교교차로 인근),35.860319182374,128.462532252965,16,18,0,4,11
대구광역시,대구광역시 달성군 유가읍(봉리619 인근),35.69298640769,128.460835969708,16,24,0,1,22
인천광역시,인천광역시 중구 선화동(신흥사거리 인근),37.46657230742,126.634883605692,15,21,1,4,12
인천광역시,인천광역시 중구 신흥동3가(인천항사거리 인근),37.458203182285,126.630240917682,9,12,1,0,11
인천광역시,인천광역시 중구 운서동(삼목1사거리 인근),37.493206933106,126.479865104787,8,11,0,1,10
인천광역시,인천광역시 동구 송현동(송현삼거리 인근),37.476735995523,126.633249854995,11,12,0,3,9
인천광역시,인천광역시 동구 송림동(송림오거리 인근),37.475913213877,126.644632011156,10,12,0,3,8
인천광역시,인천광역시 동구 송림동(산업용품센터사거리 인근),37.48269780821,126.65888898064,8,11,0,2,9
인천광역시,인천광역시 미추홀구 주안동(석바위사거리 인근),37.457871683185,126.689443511907,34,44,0,2,35
인천광역시,인천광역시 미추홀구 도화동(도화초교사거리 인근),37.46378846412,126.669276167359,25,32,0,4,27
인천광역시,인천광역시 미추홀구 주안동(옛시민회관사거리 인근),37.458476683206,126.680100292393,22,32,0,1,31
인천광역시,인천광역시 연수구 송도동(해양경비안전본부앞 인근),37.393364384814,126.647518669449,13,18,0,3,15
인천광역시,인천광역시 연수구 동춘동(연수동65115 인근),37.413237442409,126.677403334394,12,16,0,3,11
인천광역시,인천광역시 연수구 옥련동(송도역삼거리 인근),37.426955668524,126.657138232641,11,17,0,4,13
인천광역시,인천광역시 남동구 구월동(길병원사거리 인근),37.449758371106,126.707636886831,27,41,0,3,37
인천광역시,인천광역시 남동구 구월동(문예회관사거리 인근),37.450098651186,126.701177105137,24,32,0,6,26
인천광역시,인천광역시 남동구 간석동(간석사거리 인근),37.461622405603,126.720220362778,23,30,0,1,28
인천광역시,인천광역시 부평구 갈산동(부평역사거리 인근),37.491341183402,126.723133761512,32,44,1,0,42
인천광역시,인천광역시 부평구 부평동(부평동686 인근),37.488786921732,126.729491962982,30,36,0,8,25
인천광역시,인천광역시 부평구 부평동(굴다리오거리 인근),37.490986464707,126.729689510761,23,34,0,3,29
인천광역시,인천광역시 계양구 작전동(부평IC 인근),37.524608495338,126.722152042681,18,24,0,3,21
인천광역시,인천광역시 계양구 계산동(계산사거리 인근),37.543242089303,126.728507355528,18,23,0,4,18
인천광역시,인천광역시 계양구 작전동(작전역사거리 인근),37.530677933492,126.722507949381,17,25,0,3,22
인천광역시,인천광역시 서구 당하동(완정역1번출구 인근),37.593735528323,126.672839070864,24,29,0,4,24
인천광역시,인천광역시 서구 왕길동(검단사거리 인근),37.602108495361,126.657700074197,21,24,0,1,22
인천광역시,인천광역시 서구 가정동(루원교차로 인근),37.524713640474,126.676349180568,20,30,0,3,27
인천광역시,인천광역시 강화군 강화읍(강화군청앞 인근),37.746806870188,126.485277011721,7,8,0,1,6
인천광역시,인천광역시 강화군 길상면(전등사입구교차로 인근),37.637400683045,126.493477292739,5,6,0,1,3
인천광역시,인천광역시 강화군 강화읍(수협사거리 인근),37.744373526864,126.487389275491,5,6,0,1,5
인천광역시,인천광역시 옹진군 영흥면(세븐일레븐인천영흥점 인근),37.256963121009,126.495744260586,4,8,0,0,8
광주광역시,광주광역시 동구 광산동(장동로터리 인근),35.149562149978,126.922116479491,22,26,0,6,19
