연도,시도,시군구,사고건수,사망자수,부상자수,치사율,차대사람,차대차,차량단독,철길건널목,과속,중앙선 침범,신호위반,안전거리 미확보,안전운전 의무 불이행,보행자 보호의무 위반,교차로 통행방법 위반,기타
2021,경기도,경기도 고양시,3532,39,5001,1.1,596,2815,121,0,0,124,528,348,1921,241,119,251
2021,경기도,경기도 과천시,168,1,256,0.6,18,139,11,0,0,0,16,37,93,5,3,14
2021,경기도,경기도 광명시,992,10,1347,1.01,182,775,35,0,0,21,145,185,471,69,29,72
2021,경기도,경기도 광주시,2265,17,3481,0.75,318,1858,89,0,0,133,167,280,1289,166,51,179
2021,경기도,경기도 구리시,737,9,1074,1.22,117,595,25,0,0,5,91,151,394,23,23,50
2021,경기도,경기도 군포시,622,9,904,1.45,127,458,37,0,0,13,104,44,370,17,30,44
2021,경기도,경기도 김포시,1775,18,2669,1.01,223,1481,71,0,0,66,272,127,913,208,56,133
2021,경기도,경기도 남양주시,2136,18,3257,0.84,349,1712,75,0,0,115,315,259,1165,82,70,130
2021,경기도,경기도 동두천시,351,2,477,0.57,67,280,4,0,0,14,43,34,178,28,9,45
2021,경기도,경기도 부천시,3436,19,4655,0.55,725,2587,124,0,0,79,429,256,1787,370,140,375
2021,경기도,경기도 성남시,3398,27,4751,0.79,623,2657,118,0,0,79,453,419,1964,188,103,192
2021,경기도,경기도 수원시,4615,25,6667,0.54,803,3675,137,0,0,117,725,605,2326,280,124,438
2021,경기도,경기도 시흥시,2385,32,3615,1.34,310,1990,85,0,0,94,383,377,1159,143,54,175
2021,경기도,경기도 안산시,3821,20,5525,0.52,518,3209,94,0,0,98,551,502,1933,347,63,327
2021,경기도,경기도 안성시,1072,24,1717,2.24,139,887,46,0,0,71,74,104,589,55,21,158
2021,경기도,경기도 안양시,1182,13,1690,1.1,204,915,63,0,0,25,215,185,556,81,27,93
2021,경기도,경기도 양주시,998,6,1448,0.6,106,850,42,0,0,56,147,142,506,78,13,56
2021,경기도,경기도 양평군,504,20,812,3.97,81,386,37,0,0,42,25,15,359,27,21,15
2021,경기도,경기도 여주시,538,14,929,2.6,73,434,31,0,0,27,69,48,314,22,8,50
2021,경기도,경기도 연천군,199,6,321,3.02,34,154,11,0,0,20,15,24,103,7,4,26
2021,경기도,경기도 오산시,1108,7,1571,0.63,169,912,27,0,0,34,180,54,653,98,33,56
2021,경기도,경기도 용인시,3603,31,5401,0.86,475,3029,99,0,0,102,360,185,2374,334,109,139
2021,경기도,경기도 의왕시,433,3,624,0.69,52,368,13,0,0,12,45,78,258,16,8,16
2021,경기도,경기도 의정부시,1690,18,2354,1.07,351,1291,48,0,0,49,266,193,873,99,48,162
2021,경기도,경기도 이천시,1192,14,1860,1.17,153,987,52,0,0,67,177,109,603,67,39,130
2021,경기도,경기도 파주시,1708,28,2428,1.64,288,1348,72,0,0,83,230,133,962,128,54,118
2021,경기도,경기도 평택시,3321,36,5051,1.08,454,2752,115,0,0,153,454,212,1902,213,83,304
2021,경기도,경기도 포천시,914,15,1410,1.64,108,775,31,0,0,61,100,97,537,43,9,67
2021,경기도,경기도 하남시,1195,9,1731,0.75,162,996,37,0,0,27,164,149,693,59,27,76
2021,경기도,경기도 화성시,3075,37,4548,1.2,369,2608,98,0,0,147,443,285,1630,229,88,253
2021,경상남도,경상남도 거제시,808,15,1082,1.86,164,601,43,0,0,51,84,56,456,58,46,57
2021,경상남도,경상남도 거창군,274,9,359,3.28,43,210,21,0,0,25,27,13,149,9,11,40
2021,경상남도,경상남도 고성군,209,6,273,2.87,45,147,17,0,0,17,18,8,120,18,10,18
2021,경상남도,경상남도 김해시,1991,31,2826,1.56,337,1574,80,0,0,99,315,115,1162,59,66,175
2021,경상남도,경상남도 남해군,194,5,275,2.58,40,119,35,0,0,19,2,1,137,20,5,10
2021,경상남도,경상남도 밀양시,478,14,683,2.93,86,362,30,0,0,25,51,13,299,41,24,25
2021,경상남도,경상남도 사천시,597,16,902,2.68,92,463,42,0,0,24,57,26,359,47,22,62
2021,경상남도,경상남도 산청군,180,14,304,7.78,21,126,33,0,0,22,13,6,99,23,4,13
2021,경상남도,경상남도 양산시,1318,20,1796,1.52,179,1094,45,0,0,71,199,104,662,141,50,91
2021,경상남도,경상남도 의령군,142,7,188,4.93,23,105,14,0,0,19,10,2,80,11,3,17
2021,경상남도,경상남도 진주시,702,31,890,4.42,191,483,28,0,0,51,117,37,387,20,48,42
2021,경상남도,경상남도 창녕군,263,2,380,0.76,36,196,31,0,0,14,16,8,167,2,4,52
2021,경상남도,경상남도 창원시,2556,52,3511,2.03,598,1837,121,0,0,95,340,107,1588,139,129,158
2021,경상남도,경상남도 통영시,637,6,932,0.94,125,478,34,0,0,29,63,94,289,51,30,81
2021,경상남도,경상남도 하동군,102,9,132,8.82,23,66,13,0,0,7,8,6,61,10,1,9
2021,경상남도,경상남도 함안군,282,7,420,2.48,44,216,22,0,0,17,22,13,175,25,9,21
2021,경상남도,경상남도 함양군,174,9,253,5.17,27,122,25,0,0,16,13,1,103,26,4,11
2021,경상남도,경상남도 합천군,152,4,208,2.63,27,98,27,0,0,13,13,1,96,17,0,12
2021,경상북도,경상북도 경산시,931,23,1208,2.47,207,686,38,0,0,44,97,67,533,64,50,76
2021,경상북도,경상북도 경주시,1259,38,1909,3.02,196,987,75,1,0,100,119,34,897,13,33,63
2021,경상북도,경상북도 고령군,177,9,247,5.08,28,133,16,0,0,15,4,3,126,11,0,18
2021,경상북도,경상북도 구미시,1691,26,2343,1.54,245,1377,69,0,0,70,184,118,966,131,59,163
2021,경상북도,경상북도 군위군(구),119,6,188,5.04,10,94,15,0,0,7,7,2,85,10,0,8
2021,경상북도,경상북도 김천시,515,22,678,4.27,95,381,39,0,0,30,47,30,268,69,27,44
2021,경상북도,경상북도 문경시,289,9,434,3.11,58,207,24,0,0,13,8,6,220,4,11,27
2021,경상북도,경상북도 봉화군,83,11,130,13.25,10,61,12,0,0,14,3,1,46,14,1,4
2021,경상북도,경상북도 상주시,492,30,701,6.1,59,384,49,0,0,34,21,24,296,82,3,32
2021,경상북도,경상북도 성주군,247,11,366,4.45,33,195,19,0,0,21,25,8,158,2,2,31
2021,경상북도,경상북도 안동시,774,19,1212,2.45,122,614,38,0,0,40,70,62,433,54,25,90
2021,경상북도,경상북도 영덕군,258,7,405,2.71,38,185,35,0,0,20,10,16,160,12,0,40
